#	Quelle: CLAUDE.md, Abschnitt "Fallen, die dieses Projekt bereits bezahlt hat", Stand 2026-08-13.
#	100 Eintraege, in Dateireihenfolge nummeriert. Klassifikation ist ein URTEIL und je Zeile bestreitbar.
#	Klasse: S = eine Sprachkonstruktion macht es unformulierbar
#	        M = Messdisziplin (Kandidat fuer das check-Konstrukt, Stufe 6)
#	        W = Werkzeug/Prozess/Bau -- keine Sprache hilft
#	        B = Bedeutung -- der Beschreiber war falsch; keine Sprache hilft je
#	Konstrukt: welches (geplante) Konstrukt es toeten wuerde, "-" wenn keins
Nr	Klasse	Konstrukt	Kurztext
88	M	check	ein Kriterium, das die geprueft Sache nicht erreichen KANN
89	M	check	eine Skalierungskurve ohne Lebendigkeitsbeweis zaehlt Leichen
90	M	check	eine Marke, die der geprueft Pfad in seiner ersten Zeile loescht
91	B	-	ein Praedikat, das die Groesse nur STELLVERTRETEND liest
92	S	ableitung	ein abgeleiteter Nenner neben handgefuehrten Summanden
93	S	lock	der Guard eines while-let lebt ueber den Rumpf, lock maskiert IRQs
94	S	bitfeld	eine Statusmarke im obersten Bit kollidiert mit dem Zahlenfeld
95	S	wirkung	wer einen tiefen Pfad verschiebt, verschiebt wo laufe ich
96	S	linear	ein neuer Abweispfad erbt die Aufraeumpflicht des alten nicht
97	M	check	ein Negativtest kann eine Eigenschaft absichern, die niemand benutzt
98	S	recht	Lesen und Schreiben sind nicht dieselbe Autoritaet
99	W	-	zwei Suiten, die denselben Schluessel verschieden aufsetzen
100	W	-	wer nach ERREICHBARKEIT priorisiert statt nach VORGESCHICHTE
